date,year,n1,n2,n3,n4,n5,n6,div1_prize,div1_winners,url
2/7/2002,2002,4,26,31,33,36,38,0,0,https://lottery.hk/en/mark-six/results/2002-07-02
4/7/2002,2002,5,32,34,38,39,49,"28,389,625",1,https://lottery.hk/en/mark-six/results/2002-07-04
6/7/2002,2002,10,20,21,33,40,44,0,0,https://lottery.hk/en/mark-six/results/2002-07-06
9/7/2002,2002,10,20,26,28,35,48,"10,436,325",1,https://lottery.hk/en/mark-six/results/2002-07-09
11/7/2002,2002,14,19,23,36,44,46,0,0,https://lottery.hk/en/mark-six/results/2002-07-11
13/7/2002,2002,9,24,25,27,36,38,"9,130,400",1,https://lottery.hk/en/mark-six/results/2002-07-13
16/7/2002,2002,7,13,14,20,29,32,"5,377,455",1,https://lottery.hk/en/mark-six/results/2002-07-16
18/7/2002,2002,11,22,24,28,29,38,"1,666,665",3,https://lottery.hk/en/mark-six/results/2002-07-18
20/7/2002,2002,1,11,29,33,36,44,"5,000,000",1,https://lottery.hk/en/mark-six/results/2002-07-20
23/7/2002,2002,9,12,25,31,43,44,"5,000,000",1,https://lottery.hk/en/mark-six/results/2002-07-23
25/7/2002,2002,1,5,6,31,39,46,0,0,https://lottery.hk/en/mark-six/results/2002-07-25
27/7/2002,2002,1,23,25,32,43,44,0,0,https://lottery.hk/en/mark-six/results/2002-07-27
30/7/2002,2002,6,22,25,26,27,45,0,0,https://lottery.hk/en/mark-six/results/2002-07-30
1/8/2002,2002,3,7,11,22,28,36,0,0,https://lottery.hk/en/mark-six/results/2002-08-01
3/8/2002,2002,9,10,11,15,19,28,"24,019,040",1,https://lottery.hk/en/mark-six/results/2002-08-03
6/8/2002,2002,5,10,24,32,39,49,0,0,https://lottery.hk/en/mark-six/results/2002-08-06
8/8/2002,2002,5,15,26,27,28,35,"9,504,050",1,https://lottery.hk/en/mark-six/results/2002-08-08
10/8/2002,2002,5,28,29,31,44,46,"5,000,000",1,https://lottery.hk/en/mark-six/results/2002-08-10
13/8/2002,2002,7,14,26,32,41,49,0,0,https://lottery.hk/en/mark-six/results/2002-08-13
15/8/2002,2002,4,23,24,25,38,40,"9,650,470",1,https://lottery.hk/en/mark-six/results/2002-08-15
17/8/2002,2002,10,17,36,43,45,47,0,0,https://lottery.hk/en/mark-six/results/2002-08-17
20/8/2002,2002,2,6,16,26,36,41,"3,000,185",3,https://lottery.hk/en/mark-six/results/2002-08-20
22/8/2002,2002,1,3,8,25,43,46,0,0,https://lottery.hk/en/mark-six/results/2002-08-22
24/8/2002,2002,2,7,12,19,23,49,0,0,https://lottery.hk/en/mark-six/results/2002-08-24
27/8/2002,2002,22,24,28,33,36,39,"15,477,105",1,https://lottery.hk/en/mark-six/results/2002-08-27
29/8/2002,2002,3,7,31,32,35,47,0,0,https://lottery.hk/en/mark-six/results/2002-08-29
31/8/2002,2002,3,4,23,25,31,44,0,0,https://lottery.hk/en/mark-six/results/2002-08-31
3/9/2002,2002,10,37,40,42,43,46,0,0,https://lottery.hk/en/mark-six/results/2002-09-03
5/9/2002,2002,15,22,34,40,41,47,0,0,https://lottery.hk/en/mark-six/results/2002-09-05
10/9/2002,2002,8,14,16,22,37,46,"32,929,680",1,https://lottery.hk/en/mark-six/results/2002-09-10
12/9/2002,2002,11,23,32,33,43,48,0,0,https://lottery.hk/en/mark-six/results/2002-09-12
17/9/2002,2002,5,13,19,27,29,35,0,0,https://lottery.hk/en/mark-six/results/2002-09-17
20/9/2002,2002,15,19,25,34,38,44,0,0,https://lottery.hk/en/mark-six/results/2002-09-20
24/9/2002,2002,1,10,34,41,47,48,"25,480,810",2,https://lottery.hk/en/mark-six/results/2002-09-24
26/9/2002,2002,10,12,15,17,34,42,0,0,https://lottery.hk/en/mark-six/results/2002-09-26
30/9/2002,2002,7,15,24,41,47,49,0,0,https://lottery.hk/en/mark-six/results/2002-09-30
3/10/2002,2002,6,10,11,32,35,46,"19,309,895",1,https://lottery.hk/en/mark-six/results/2002-10-03
8/10/2002,2002,5,9,20,30,32,42,0,0,https://lottery.hk/en/mark-six/results/2002-10-08
10/10/2002,2002,5,9,18,25,47,48,0,0,https://lottery.hk/en/mark-six/results/2002-10-10
15/10/2002,2002,1,12,14,33,36,37,0,0,https://lottery.hk/en/mark-six/results/2002-10-15
17/10/2002,2002,5,7,16,37,42,44,0,0,https://lottery.hk/en/mark-six/results/2002-10-17
22/10/2002,2002,1,13,18,30,32,46,"35,288,735",1,https://lottery.hk/en/mark-six/results/2002-10-22
24/10/2002,2002,8,12,19,22,29,41,0,0,https://lottery.hk/en/mark-six/results/2002-10-24
29/10/2002,2002,8,10,14,25,43,44,0,0,https://lottery.hk/en/mark-six/results/2002-10-29
31/10/2002,2002,2,3,8,22,27,28,0,0,https://lottery.hk/en/mark-six/results/2002-10-31
4/11/2002,2002,1,3,12,23,31,48,"21,948,010",1,https://lottery.hk/en/mark-six/results/2002-11-04
7/11/2002,2002,6,7,29,32,42,46,"5,000,000",1,https://lottery.hk/en/mark-six/results/2002-11-07
12/11/2002,2002,5,8,9,26,33,38,"5,000,000",1,https://lottery.hk/en/mark-six/results/2002-11-12
14/11/2002,2002,2,6,14,25,45,49,0,0,https://lottery.hk/en/mark-six/results/2002-11-14
19/11/2002,2002,3,15,22,23,42,47,0,0,https://lottery.hk/en/mark-six/results/2002-11-19
